Round,ezdos,eztcs,ab2btl1,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl11,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl11,ab22btl12,ab22btl17,ab22btl18,ab22btl19,ab22btl05,ab22btl08,ab22btl11,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl12,ab22btl14,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl07,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf11,bash3ctf3,bash3ctf1,bash3ctf12,bash3ctf1,bash3ctf2,bash3ctf3,ab22ctf01,ab22ctf02,ab22ctf03,ab5ctf1,ab22ctf06,ab22ctf07,ab22ctf09,ab22ctf15,ab22ctf16,ab22CTF17,ab22CTF18,ab22CTF19,ab22CTF20,ab22ctf02,ab22ctf07,ab22ctf08,ab22ctf10,ab22ctf11,ab22ctf08,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf04,ab22ctf05,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl20,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl10,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl03,ab22btl11,ab22btl02,ab22btl03,ab22btl08,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22ctf02,ab22ctf02,ab22ctf03,ab22ctf15,ab22ctf17,ab22ctf18,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf01,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,gw,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf03,ezastro,eztcs,ezdaybreak,ezdaybreak,ab2ctf14,olcjunge,ezdaybreak,ezmoon,ezmoon,mlynepitome,mlynepitome,ezdos,ezdos,ezastro,ezastro,evilmike211,evilmike211,sebow,xlmfishing,olcmdvl,ab22ctf01,techtree,pinball2k15,olcpitctf,ab22ctf19,2upsbreach2,am,2updnc,hellwarp,ezmaelstrom,snxus02,ab16btl08,ab22btl08,ab16btl03,ab22btl17,survivor20,ab21btl19,eztundra,ab21btl13,sc2aend,survivor10,survivor24,mingfpack12,survivor06,mingfpack6,survivor13,survivor23,mingfpack11,xlmff11,survivor08,survivor29,mlsurv08,survivor27,mingfpack3,survivor17,mingfpack2,survivor09,mingfpack1,survivor25,xlmff04,survivor19,survivor02,survivor20,mingfpack25,mingfpack5,survivor16,survivor12,mingfpack15,survivor07,survivor21,mingfpack9,survivor04,survivor22,mingfpack34,survivor03,survivor30,survivor28,survivor28,Total
Weight,0.148663,0.148663,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0842003,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0774159,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0995947,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.0774159,0.148663,0.148663,0.148663,0.148663,0.0308285,0.0308285,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.0308285,0.205373,0.205373,0.205373,0.205373,0.205373,0.205373,0.205373,0.205373,0.205373,0.205373,0.205373,0.0666638,0.0666638,0.0666638,0.0666638,0.0666638,0.0666638,0.0666638,0.0666638,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.0774159,0.0774159,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.148663,0.0308285,0.0774159,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0774159,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,0.0011183,
violetclm DM,,,6,5,4,5,4,8,13,8,0,10,6,5,11,16,12,8,7,6,15,9,6,17,6,5,7,4,5,5,5,2,7,6,0,7,4,3,7,1,8,0,2,,,2,1,1,9,4,2,2,2,1,4,,,,2,1,3,3,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,3,,5,5,1,3,5,5,0,5,3,,5,2,4,3,5,,,,5,5,5,,,,,,,,1,5,4,5,3,2,1,5,0,2,2,5,5,2,0,1,5,5,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,15,249,246,15,156,89,0,101,185,84,0,,,4,2,1,,0,18,2,9,13,20,9,8,7,10,4,10,,11,17,6,1,4,,,,,1,5,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,8,13,,,,13,11,38,1,,15,,,9,30,11,4,10,11,4,4,19,18,26,0,16,22,4,6,7,1,0,9,3,2,5,4,4,16,14,0,8,4,,,,,,,,,,,,,,,,,,,,,12,1,3,4,3,7,3,3,5,3,68,4,81,106,120,377,90,190,115,140,197,125,0,227,94,239,189,73,6,152,57,344,355,255,172,270,260,21,120,0,77,335,172,147,26,103,127,0,165,350,40,250,244,26,13,152,78,23,72,101,167,100
FawFuLCC,,,,1,16,0,0,4,4,12,0,11,6,16,11,9,14,8,9,4,13,4,1,23,3,6,25,3,9,,,,,,,,,,,,,,,,,,,10,7,,,,3,3,5,7,6,4,2,5,6,9,6,6,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,7,10,8,6,0,,,,,,,,,5,2,,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,3,4,5,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,5,5,5,,,,0,9,10,10,6,0,,,,,,,,,,,3,2,2,17,2,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,11,13,7,20,16,5,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,42,38,0,15,9,42,44,,,,,,,,,,,,,,,,,,,,,,,,,,,7,29,8,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.682
PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,2,0,1,0,4,1,0,2,5,1,3,5,0,5,4,2,0,5,2,5,1,0,5,2,4,3,1,1,0,3,,,,,,,,,,,,,,,1,0,4,,1,0,0,0,0,2,5,,5,0,5,0,3,1,5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,1,1,0,2,0,2,1,,,4,2,1,1,1,0,0,0,0,5,1,4,2,0,5,0,4,5,0,4,,,,,,,,,,,,,,,,,,,10,6,1,2,3,4,7,10,8,4,2,2,15,4,4,3,8,4,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,4,4,4,2,9,,,,4,9,,,,,,,,,,,,,,2,0,2,0,20,3,0,2,5,1,1,3,3,2,1,2,0,0,1,5,1,1,0,0,0,5,3,2,27,,,,,18,,,,,,,,,,11,6,1,10,15,,,,,,,,,,,,,,,,,,,,,1,3,3,0,2,3,4,16,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4677
Jety,,,3,20,14,8,15,11,7,13,1,,,,,,,,,,,,,,,,,,,,20,24,,,3,14,6,,,,,,,,,,,,,,,,,,,,,,,,,8,,4,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,12,1,3,7,3,7,3,5,5,6,68,4,447,342,253,152,315,490,177,240,247,275,0,177,339,189,130,62,350,336,18,244,205,205,205,110,152,33,198,67,360,77,255,30,344,6,205,96,349,200,142,350,61,52,62,42,200,110,53,346,350,39.8249
Treya,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,,,,,,,,,0,2,3,0,,9,7,,,,,,5,3,2,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,5,3,1,0,4,5,0,0,5,5,,,,,5,0,5,3,0,,,4,3,5,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,1,3,4,5,4,,,,,,,,,,,,2,0,0,4,,3,0,0,2,3,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,184,0,84,184,84,184,240,96,31,74,17,176,256,272,260,201,85,184,21,12,6,11,3,5,4,2,22,5,8,,,,4,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,101,79,,,,,,,,,,,,,,,,,,0,220,20,137,106,177,152,,,,,0,110,147,17,67,122,67,84,194,116,76,57,205,172,63,122,36.8261
Smoke[NC],,,,2,1,2,1,9,5,3,1,15,6,6,4,12,8,5,2,3,2,6,6,6,,,,,,,,,,,,,,1,0,4,6,2,3,1,6,2,0,2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,0,,,2,0,2,5,5,5,5,0,5,4,5,1,0,3,1,5,4,3,0,0,,,,,,,,2,0,1,5,0,2,4,3,5,1,5,3,,,,,,,,,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,140,63,31,99,62,68,0,172,160,12,35,34,0,0,0,6,6,2,3,4,,,3,13,4,8,6,4,6,4,3,1,7,8,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0833
Lynx[GpW],,,,,7,13,5,7,2,5,0,11,12,8,2,1,6,8,7,8,6,4,6,2,15,,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,5,0,,,,,,,0,5,0,,,0,5,,0,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,0,0,4,0,0,1,0,0,8,17,4,0,9,12,8,7,3,0,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,7,,7,,3,9,3,68,3,8,242,0,42,5,52,101,90,36,275,,82,7,94,28,244,32,78,12,42,23,62,83,186,210,5,,,,,,,,,,,,,,,,,,,,,,,,32.0281
Seren,,,0,0,12,0,7,4,4,6,1,5,4,5,,2,3,7,3,0,1,8,3,5,0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,0,3,2,,,,,,,,,,0,0,2,1,3,1,3,0,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,8,6,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,3,4,2,7,3,3,9,3,65,0,97,15,220,67,315,61,132,140,97,125,,144,155,37,239,344,67,236,122,84,172,147,205,38,78,82,140,260,132,88,205,72,244,11,255,172,23,40,78,78,51,73,6,6,67,355,355,138,250,31.0533
A7med[GpW],,,,1,,0,5,16,9,12,0,12,,,,,,0,2,,,,,,,,,,,,,,,,,,,,6,8,9,8,0,7,5,9,10,9,5,5,1,,,,,0,1,2,3,1,9,0,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,5,1,2,5,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,,,,,,,,,,,,,,,,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,5,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,27,16,31,,,,,3,33,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,7,29,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2334
